sigla_provincia;denominazione_ita;codice_belfiore;data_inizio_validita;data_fine_validita
CS;APRIGLIANO;A340;17/03/1861;
LT;APRILIA;A341;25/04/1936;
MS;APUANIA;A342;18/12/1938;04/03/1946
SA;AQUARA;A343;17/03/1861;
IM;"AQUILA D'ARROSCIA";A344;10/11/1862;10/11/1928
IM;"AQUILA D'ARROSCIA";A344;28/03/1947;
AQ;"AQUILA DEGLI ABRUZZI";A345;06/05/1863;10/01/1940
AQ;L'AQUILA;A345;11/01/1940;
UD;AQUILEIA;A346;05/01/1921;07/02/1923
UD;AQUILEIA;A346;08/02/1923;05/04/1968
UD;AQUILEIA;A346;06/04/1968;
AV;AQUILONIA;A347;29/12/1862;
CE;AQUINO;A348;17/03/1861;11/01/1927
FR;AQUINO;A348;12/01/1927;
NO;ARA;A349;17/03/1861;21/01/1928
LE;ARADEO;A350;17/03/1861;
AG;ARAGONA;A351;18/07/1892;
AL;ARAMENGO;A352;17/03/1861;07/04/1935
AT;ARAMENGO;A352;08/04/1935;
NO;ARANCO;A353;17/03/1861;11/01/1927
VC;ARANCO;A353;12/01/1927;05/09/1928
UD;ARBA;A354;19/11/1866;05/04/1968
PN;ARBA;A354;06/04/1968;
CA;TORTOLI';A355;17/03/1861;11/01/1927
NU;TORTOLI';A355;12/01/1927;11/05/1928
NU;"ARBATAX DI TORTOLI'";A355;12/05/1928;22/05/1941
NU;TORTOLI';A355;23/05/1941;31/12/2005
OG;TORTOLI';A355;01/01/2006;27/04/2016
NU;TORTOLI';A355;28/04/2016;
CO;ARBIZZO;A356;17/03/1861;11/01/1927
VA;ARBIZZO;A356;12/01/1927;15/08/1928
CA;"MUSSOLINIA DI SARDEGNA";A357;20/02/1931;07/03/1944
CA;ARBOREA;A357;08/03/1944;19/08/1974
OR;ARBOREA;A357;20/08/1974;
NO;ARBORIO;A358;17/03/1861;11/01/1927
VC;ARBORIO;A358;12/01/1927;
CA;ARBUS;A359;17/03/1861;19/08/1974
CA;ARBUS;A359;20/08/1974;31/12/2005
VS;ARBUS;A359;01/01/2006;27/04/2016
SU;ARBUS;A359;28/04/2016;
TV;ARCADE;A360;19/11/1866;
CE;ARCE;A363;17/03/1861;11/01/1927
FR;ARCE;A363;12/01/1927;
CO;ARCELLASCO;A364;17/03/1861;13/12/1928
BG;ARCENE;A365;17/03/1861;
AN;ARCEVIA;A366;17/03/1861;
CH;ARCHI;A367;17/03/1861;
CA;"SAN NICOLO' D'ARCIDANO";A368;28/12/1863;03/11/1928
CA;"SAN NICOLO' D'ARCIDANO";A368;24/01/1947;19/08/1974
OR;"SAN NICOLO' D'ARCIDANO";A368;20/08/1974;
GR;ARCIDOSSO;A369;17/03/1861;
RM;"ARCINAZZO ROMANO";A370;13/06/1891;
CO;ARCISATE;A371;17/03/1861;11/01/1927
VA;ARCISATE;A371;12/01/1927;
TN;ARCO;A372;16/10/1920;13/02/1923
TN;ARCO;A372;14/02/1923;
GE;ARCOLA;A373;07/04/1870;21/12/1923
SP;ARCOLA;A373;22/12/1923;
VR;ARCOLE;A374;19/11/1866;
MI;ARCONATE;A375;22/07/1869;
MI;ARCORE;A376;11/10/1869;29/06/2009
MB;ARCORE;A376;30/06/2009;
VI;ARCUGNANO;A377;19/11/1866;
CO;ARCUMEGGIA;A378;17/03/1861;11/01/1927
VA;ARCUMEGGIA;A378;12/01/1927;17/01/1928
SS;ARDARA;A379;17/03/1861;
CA;ARDAULI;A380;17/03/1861;19/08/1974
OR;ARDAULI;A380;20/08/1974;
CO;ARDENA;A381;17/03/1861;11/01/1927
VA;ARDENA;A381;12/01/1927;05/09/1928
SO;ARDENNO;A382;17/03/1861;
BG;ARDESIO;A383;17/03/1861;
RC;ARDORE;A385;17/03/1861;
CZ;ARENA;A386;17/03/1861;15/04/1992
VV;ARENA;A386;16/04/1992;
PV;"ARENA PO";A387;10/08/1863;
GE;ARENZANO;A388;17/03/1861;
MI;ARESE;A389;17/03/1861;
AR;AREZZO;A390;17/03/1861;
CO;ARGEGNO;A391;17/03/1861;
BO;ARGELATO;A392;17/03/1861;
FE;ARGENTA;A393;17/03/1861;
CN;ARGENTERA;A394;17/03/1861;
PV;BRESSANA;A395;08/08/1873;06/10/1928
CN;ARGUELLO;A396;17/03/1861;01/05/1928
CN;ARGUELLO;A396;30/03/1947;
CZ;ARGUSTO;A397;17/03/1861;
CH;ARI;A398;17/03/1861;
AV;"ARIANO DI PUGLIA";A399;31/12/1868;16/07/1930
AV;"ARIANO IRPINO";A399;17/07/1930;
RO;"ARIANO NEL POLESINE";A400;22/07/1867;
RM;ARICCIA;A401;15/01/1871;
CH;ARIELLI;A402;17/03/1861;
CE;ARIENZO;A403;17/03/1861;11/01/1927
NA;ARIENZO;A403;12/01/1927;25/09/1928
CE;ARIENZO;A403;21/12/1946;
NA;"ARIENZO SAN FELICE";A404;25/09/1928;31/08/1945
CE;"ARIENZO SAN FELICE";A404;01/09/1945;21/12/1946
TO;ARIGNANO;A405;17/03/1861;
AQ;ARISCHIA;A406;17/03/1861;20/09/1927
CA;ARITZO;A407;17/03/1861;11/01/1927
NU;ARITZO;A407;12/01/1927;
CA;ARIXI;A408;17/03/1861;24/04/1927
NO;ARIZZANO;A409;17/03/1861;04/07/1911
NO;ARIZZANO;A409;07/01/1928;22/05/1992
VB;ARIZZANO;A409;23/05/1992;
NO;"ARIZZANO INFERIORE";A410;04/07/1911;03/12/1927
NO;"ARIZZANO SUPERIORE";A411;04/07/1911;07/01/1928
RM;"ARLENA DI CASTRO";A412;23/09/1876;11/01/1927
VT;"ARLENA DI CASTRO";A412;12/01/1927;
MI;ARLUNO;A413;17/03/1861;
NO;ARMENO;A414;17/03/1861;
PZ;ARMENTO;A415;17/03/1861;
CO;ARMIO;A416;17/03/1861;11/01/1927
VA;ARMIO;A416;12/01/1927;06/08/1928
TN;ARMO;A417;16/10/1920;13/02/1923
TN;ARMO;A417;14/02/1923;28/02/1929
IM;ARMO;A418;17/03/1861;05/09/1928
IM;ARMO;A418;24/03/1949;
CA;ARMUNGIA;A419;17/03/1861;19/08/1974
CA;ARMUNGIA;A419;20/08/1974;27/04/2016
SU;ARMUNGIA;A419;28/04/2016;
TN;ARNAGO;A420;16/10/1920;13/02/1923
TN;ARNAGO;A420;14/02/1923;05/09/1928
RM;ARNARA;A421;15/01/1871;11/01/1927
FR;ARNARA;A421;12/01/1927;
GE;ARNASCO;A422;17/03/1861;11/01/1927
SV;ARNASCO;A422;12/01/1927;
TO;ARNAZ;A424;17/03/1861;11/01/1927
AO;ARNAZ;A424;12/01/1927;14/08/1928
AO;ARNAZ;A424;10/03/1946;01/01/1977
AO;ARNAD;A424;02/01/1977;
LE;ARNESANO;A425;17/03/1861;
TN;"BONDO BREGUZZO";A426;24/02/1928;31/12/1928
TN;ARNO';A426;01/01/1929;19/05/1931
TN;"BONDO BREGUZZO";A426;20/05/1931;07/01/1947
NO;AROLA;A427;17/03/1861;21/02/1928
NO;AROLA;A427;12/03/1955;22/05/1992
VB;AROLA;A427;23/05/1992;
CO;AROLO;A428;17/03/1861;11/01/1927
VA;AROLO;A428;12/01/1927;07/01/1928
NO;ARONA;A429;17/03/1861;
CO;AROSIO;A430;17/03/1861;16/05/1929
CO;AROSIO;A430;05/04/1950;
BN;ARPAIA;A431;17/03/1861;
BN;ARPAISE;A432;17/03/1861;
CE;ARPINO;A433;17/03/1861;11/01/1927
FR;ARPINO;A433;12/01/1927;
PD;"ARQUA' PETRARCA";A434;14/02/1868;
RO;"ARQUA' POLESINE";A435;13/07/1868;
AL;"ARQUATA SCRIVIA";A436;26/01/1863;
AP;"ARQUATA DEL TRONTO";A437;24/11/1862;
PD;ARRE;A438;19/11/1866;
PG;ARRONE;A439;22/03/1875;11/01/1927
TR;ARRONE;A439;12/01/1927;
BG;ARSAGO;A440;17/03/1861;01/07/1929
BG;"ARZAGO D'ADDA";A440;02/07/1929;
MI;ARSAGO;A441;10/06/1872;11/01/1927
VA;ARSAGO;A441;12/01/1927;05/02/1948
VA;"ARSAGO SEPRIO";A441;06/02/1948;
PL;ARSIA;A442;06/11/1937;15/09/1947
BL;ARSIE';A443;19/11/1866;
VI;ARSIERO;A444;19/11/1866;
TE;BACUCCO;A445;17/03/1861;04/01/1906
TE;ARSITA;A445;05/01/1906;
RM;ARSOLI;A446;15/01/1871;
UD;ARTA;A447;19/11/1866;14/08/1965
UD;"ARTA TERME";A447;15/08/1965;05/04/1968
UD;"ARTA TERME";A447;06/04/1968;
UD;ARTEGNA;A448;19/11/1866;05/04/1968
UD;ARTEGNA;A448;06/04/1968;
RM;ARTENA;A449;06/03/1873;
NO;ARTO';A450;17/03/1861;07/03/1928
BS;ARTOGNE;A451;17/03/1861;21/02/1929
BS;ARTOGNE;A451;14/02/1957;
TO;ARVIER;A452;17/03/1861;11/01/1927
AO;ARVIER;A452;12/01/1927;20/10/1939
AO;ARVIE;A452;21/10/1939;29/01/1946
AO;ARVIER;A452;30/01/1946;
SS;ARZACHENA;A453;19/10/1920;31/12/2005
OT;ARZACHENA;A453;01/01/2006;27/04/2016
SS;ARZACHENA;A453;28/04/2016;
CA;ARZANA;A454;17/03/1861;11/01/1927
NU;ARZANA;A454;12/01/1927;31/12/2005
OG;ARZANA;A454;01/01/2006;27/04/2016
NU;ARZANA;A454;28/04/2016;
NA;ARZANO;A455;17/03/1861;
UD;ARZENE;A456;19/11/1866;15/12/1928
UD;ARZENE;A456;24/12/1946;05/04/1968
PN;ARZENE;A456;06/04/1968;31/12/2014
IM;"ARZENO D'ONEGLIA";A457;28/01/1889;21/12/1923
IM;"ARZENO D'ONEGLIA";A457;22/08/1925;16/03/1929
PD;ARZERGRANDE;A458;19/11/1866;
VI;ARZIGNANO;A459;19/11/1866;
SA;ASCEA;A460;17/03/1861;
SI;ASCIANO;A461;17/03/1861;
AP;"ASCOLI PICENO";A462;17/01/1867;
FG;"ASCOLI SATRIANO";A463;10/11/1862;
PG;ASCREA;A464;17/03/1861;18/03/1923
RM;ASCREA;A464;19/03/1923;11/01/1927
RI;ASCREA;A464;12/01/1927;
VI;ASIAGO;A465;19/11/1866;
NO;ASIGLIANO;A466;17/03/1861;11/01/1927
VC;ASIGLIANO;A466;12/01/1927;08/03/1928
VC;"ASIGLIANO VERCELLESE";A466;09/03/1928;
VI;ASIGLIANO;A467;23/01/1909;08/08/1928
VI;"ASIGLIANO VENETO";A467;09/08/1928;
SI;SINALUNGA;A468;07/11/1864;
CO;ASNAGO;A469;17/03/1861;02/12/1928
MN;ASOLA;A470;01/07/1868;
TV;ASOLO;A471;19/11/1866;
PG;"ASPRA SABINA";A472;17/03/1861;18/03/1923
RM;"ASPRA SABINA";A472;19/03/1923;11/01/1927
RI;"ASPRA SABINA";A472;12/01/1927;16/08/1947
RI;CASPERIA;A472;17/08/1947;
MI;ASSAGO;A473;17/03/1861;
CA;ASSEMINI;A474;17/03/1861;19/08/1974
CA;ASSEMINI;A474;20/08/1974;
PG;ASSISI;A475;17/03/1861;
CO;ASSO;A476;12/07/1880;
CA;ASSOLO;A477;17/03/1861;26/06/1928
CA;ASSOLO;A477;08/02/1946;19/08/1974
OR;ASSOLO;A477;20/08/1974;
CT;ASSORO;A478;17/03/1861;11/01/1927
EN;ASSORO;A478;12/01/1927;
AL;ASTI;A479;04/11/1876;07/04/1935
AT;ASTI;A479;08/04/1935;
CA;ASUNI;A480;17/03/1861;19/08/1974
OR;ASUNI;A480;20/08/1974;
AQ;ATELETA;A481;17/03/1861;
PZ;ATELLA;A482;10/07/1882;
NA;"ATELLA DI NAPOLI";A483;29/05/1928;31/08/1945
CE;"ATELLA DI NAPOLI";A483;01/09/1945;26/04/1946
SA;"ATENA LUCANA";A484;24/05/1880;
CH;ATESSA;A485;17/03/1861;
CE;ATINA;A486;17/03/1861;11/01/1927
FR;ATINA;A486;12/01/1927;
SA;ATRANI;A487;17/03/1861;09/03/1929
SA;ATRANI;A487;19/07/1945;
TE;ATRI;A488;17/03/1861;
AV;ATRIPALDA;A489;26/04/1869;
PG;ATTIGLIANO;A490;17/03/1861;11/01/1927
TR;ATTIGLIANO;A490;12/01/1927;
UD;ATTIMIS;A491;19/11/1866;05/04/1968
UD;ATTIMIS;A491;06/04/1968;
CA;ATZARA;A492;17/03/1861;11/01/1927
NU;ATZARA;A492;12/01/1927;
PU;AUDITORE;A493;17/03/1861;31/12/2018
SR;AUGUSTA;A494;17/03/1861;
SA;AULETTA;A495;17/03/1861;
MS;AULLA;A496;22/04/1881;
NO;AURANO;A497;17/03/1861;22/05/1992
VB;AURANO;A497;23/05/1992;
TS;"AUREMO DI SOPRA";A498;05/01/1921;07/02/1923
TS;"AUREMO DI SOPRA";A498;08/02/1923;01/06/1927
IM;AURIGO;A499;17/03/1861;07/12/1928
IM;AURIGO;A499;04/06/1954;
TS;NABRESINA;A500;05/01/1921;07/02/1923
TS;NABRESINA;A500;08/02/1923;26/04/1923
TS;AURISINA;A500;27/04/1923;08/09/1928
BL;AURONZO;A501;19/11/1866;08/03/1961
BL;"AURONZO DI CADORE";A501;09/03/1961;
CE;AUSONIA;A502;06/10/1862;11/01/1927
FR;AUSONIA;A502;12/01/1927;
CA;AUSTIS;A503;17/03/1861;11/01/1927
NU;AUSTIS;A503;12/01/1927;
NO;AUZATE;A504;17/03/1861;22/02/1928
GO;AUZZA;A505;05/01/1921;07/02/1923
UD;AUZZA;A505;08/02/1923;11/01/1927
GO;AUZZA;A505;12/01/1927;12/03/1928
GE;AVEGNO;A506;03/11/1877;
TN;AVELIGNA;A507;16/10/1920;13/02/1923
TN;AVELIGNA;A507;14/02/1923;26/04/1923
TN;AVELENGO;A507;27/04/1923;11/01/1927
BZ;AVELENGO;A507;12/01/1927;13/06/1931
BZ;AVELENGO;A507;12/06/1957;
AV;AVELLA;A508;17/03/1861;
AV;AVELLINO;A509;17/03/1861;
BS;AVENONE;A510;17/03/1861;30/11/1928
BG;AVERARA;A511;17/03/1861;
CE;AVERSA;A512;17/03/1861;11/01/1927
NA;AVERSA;A512;12/01/1927;31/08/1945
CE;AVERSA;A512;01/09/1945;
VR;AVESA;A513;19/11/1866;15/02/1927
LE;AVETRANA;A514;17/03/1861;21/12/1923
TA;AVETRANA;A514;22/12/1923;
AQ;AVEZZANO;A515;17/03/1861;
UD;AVIANO;A516;19/11/1866;05/04/1968
PN;AVIANO;A516;06/04/1968;
BG;AVIATICO;A517;17/03/1861;
TO;AVIGLIANA;A518;17/03/1861;
PZ;AVIGLIANO;A519;10/07/1882;
TN;AVIO;A520;16/10/1920;13/02/1923
TN;AVIO;A520;14/02/1923;
TO;AVISE;A521;17/03/1861;11/01/1927
AO;AVISE;A521;12/01/1927;16/04/1928
AO;AVISE;A521;10/03/1946;
SR;AVOLA;A522;17/03/1861;
AL;AVOLASCA;A523;17/03/1861;
TO;"AVUGLIONE E VERNONE";A524;17/03/1861;17/01/1928
TO;AZEGLIO;A525;17/03/1861;11/01/1927
AO;AZEGLIO;A525;12/01/1927;04/10/1945
TO;AZEGLIO;A525;05/10/1945;
CR;AZZANELLO;A526;17/03/1861;
AL;"AZZANO DEL TANARO";A527;16/02/1863;24/06/1904
AL;"AZZANO D'ASTI";A527;25/06/1904;13/06/1929
AT;"AZZANO D'ASTI";A527;24/12/1947;
BG;"AZZANO SAN PAOLO";A528;13/07/1863;
BS;"AZZANO MELLA";A529;20/10/1862;26/12/1927
BS;"AZZANO MELLA";A529;12/07/1957;
UD;"AZZANO DECIMO";A530;02/09/1867;05/04/1968
PN;"AZZANO DECIMO";A530;06/04/1968;
CO;AZZATE;A531;17/03/1861;11/01/1927
VA;AZZATE;A531;12/01/1927;
CO;AZZIO;A532;17/03/1861;11/01/1927
VA;AZZIO;A532;12/01/1927;18/08/1927
VA;AZZIO;A532;24/01/1956;
BG;AZZONE;A533;17/03/1861;22/02/1928
BG;AZZONE;A533;22/05/1947;
NO;BACENO;A534;17/03/1861;22/05/1992
VB;BACENO;A534;23/05/1992;
NA;BACOLI;A535;03/02/1919;
IM;BADALUCCO;A536;17/03/1861;
TN;BADIA;A537;16/10/1920;13/02/1923
TN;BADIA;A537;14/02/1923;11/01/1927
BZ;BADIA;A537;12/01/1927;
PV;BADIA;A538;17/03/1861;31/07/1928
PV;"BADIA PAVESE";A538;01/08/1928;
RO;"BADIA POLESINE";A539;22/07/1867;
VR;"BADIA CALAVENA";A540;19/11/1866;
AR;"BADIA TEDALDA";A541;17/03/1861;
CZ;BADOLATO;A542;17/03/1861;
CO;BAGAGGERA;A543;17/03/1861;29/01/1928
RC;BAGALADI;A544;17/03/1861;
MI;BAGGIO;A545;22/03/1869;13/10/1923
PA;BAGHERIA;A546;17/03/1861;
RA;BAGNACAVALLO;A547;17/03/1861;
RM;BAGNAJA;A548;15/01/1871;11/01/1927
VT;BAGNAJA;A548;12/01/1927;18/05/1928
PV;BAGNARIA;A550;30/03/1863;27/05/1929
PV;BAGNARIA;A550;19/12/1946;
RA;"BAGNARA DI ROMAGNA";A551;26/01/1863;
RC;"BAGNARA CALABRA";A552;23/06/1864;
UD;"BAGNARIA ARSA";A553;02/09/1867;05/04/1968
UD;"BAGNARIA ARSA";A553;06/04/1968;
CN;BAGNASCO;A555;17/03/1861;
AL;"BAGNASCO D'ASTI";A556;17/03/1861;14/06/1928
BG;BAGNATICA;A557;17/03/1861;12/11/1927
BG;BAGNATICA;A557;20/05/1956;
BO;"BAGNI DELLA PORRETTA";A558;08/12/1882;26/09/1931
BO;"PORRETTA TERME";A558;27/09/1931;31/12/2015
PI;"BAGNI DI CASCIANA";A559;04/12/1927;14/08/1956
PI;"CASCIANA TERME";A559;15/08/1956;31/12/2013
LU;"BAGNI DI LUCCA";A560;01/07/1898;
LU;"BAGNI DI MONTECATINI";A561;30/07/1905;25/01/1928
PT;"BAGNI DI MONTECATINI";A561;26/01/1928;07/12/1928
PT;MONTECATINI-TERME;A561;08/12/1928;
PI;"BAGNI SAN GIULIANO";A562;17/03/1861;30/07/1935
PI;"SAN GIULIANO TERME";A562;31/07/1935;
AQ;BAGNO;A563;17/03/1861;20/09/1927
FI;"BAGNO A RIPOLI";A564;10/12/1869;
FI;"BAGNO DI ROMAGNA";A565;17/03/1861;18/03/1923
FC;"BAGNO DI ROMAGNA";A565;19/03/1923;
AV;"BAGNOLI IRPINO";A566;24/11/1862;
CB;"BAGNOLI DEL TRIGNO";A567;10/04/1863;02/03/1970
IS;"BAGNOLI DEL TRIGNO";A567;03/03/1970;
PD;"BAGNOLI DI SOPRA";A568;26/08/1867;
BS;"BAGNOLO MELLA";A569;08/09/1862;
CR;"BAGNOLO CREMASCO";A570;19/12/1862;
CN;"BAGNOLO PIEMONTE";A571;19/12/1862;
LE;"BAGNOLO DEL SALENTO";A572;28/11/1862;
RE;"BAGNOLO IN PIANO";A573;20/10/1862;
RO;"BAGNOLO DI PO";A574;22/07/1867;
MN;"BAGNOLO SAN VITO";A575;19/11/1866;
MS;BAGNONE;A576;09/03/1894;
RM;BAGNOREA;A577;15/01/1871;25/07/1922
RM;BAGNOREGIO;A577;26/07/1922;11/01/1927
VT;BAGNOREGIO;A577;12/01/1927;
BS;BAGOLINO;A578;17/03/1861;
CE;"BAIA E LATINA";A579;17/03/1861;11/01/1927
NA;"BAIA E LATINA";A579;12/01/1927;31/08/1945
CE;"BAIA E LATINA";A579;01/09/1945;
AV;BAIANO;A580;17/03/1861;
IM;BAJARDO;A581;17/03/1861;
CO;BAIEDO;A582;17/03/1861;18/01/1928
TO;BAIO;A583;17/03/1861;17/09/1917
TO;"BAIO DORA";A583;18/09/1917;11/01/1927
AO;"BAIO DORA";A583;12/01/1927;02/03/1929
TO;BAIRO;A584;17/03/1861;11/01/1927
AO;BAIRO;A584;12/01/1927;15/01/1929
TO;BAIRO;A584;29/04/1955;
AO;"BAIRO TORRE";A585;15/01/1929;04/10/1945
TO;"BAIRO TORRE";A585;05/10/1945;29/04/1955
RE;BAISO;A586;17/03/1861;
TO;BALANGERO;A587;17/03/1861;
AL;"BALDICHIERI D'ASTI";A588;17/03/1861;07/04/1935
AT;"BALDICHIERI D'ASTI";A588;08/04/1935;
CN;"BALDISSERO D'ALBA";A589;19/12/1862;
TO;"BALDISSERO CANAVESE";A590;05/01/1863;11/01/1927
AO;"BALDISSERO CANAVESE";A590;12/01/1927;03/05/1929
TO;"BALDISSERO CANAVESE";A590;10/01/1947;
TO;"BALDISSERO TORINESE";A591;05/01/1863;
PA;BALESTRATE;A592;17/03/1861;
GE;BALESTRINO;A593;22/07/1869;11/01/1927
SV;BALESTRINO;A593;12/01/1927;
CO;BALLABIO;A594;11/09/1927;15/04/1992
LC;BALLABIO;A594;16/04/1992;
CO;"BALLABIO INFERIORE";A595;17/03/1861;11/09/1927
CO;"BALLABIO SUPERIORE";A596;17/03/1861;11/09/1927
CA;BALLAO;A597;17/03/1861;19/08/1974
CA;BALLAO;A597;20/08/1974;27/04/2016
SU;BALLAO;A597;28/04/2016;
CO;BALLARATE;A598;24/01/1879;11/01/1927
VA;BALLARATE;A598;12/01/1927;07/01/1928
TO;BALME;A599;17/03/1861;
NO;BALMUCCIA;A600;17/03/1861;11/01/1927
VC;BALMUCCIA;A600;12/01/1927;
NO;BALOCCO;A601;17/03/1861;11/01/1927
VC;BALOCCO;A601;12/01/1927;
MI;BALSAMO;A602;17/03/1861;02/11/1928
AQ;BALSORANO;A603;17/03/1861;
PZ;BALVANO;A604;17/03/1861;
AL;BALZOLA;A605;17/03/1861;
SS;BANARI;A606;17/03/1861;
TO;BANCHETTE;A607;17/03/1861;11/01/1927
AO;BANCHETTE;A607;12/01/1927;04/10/1945
TO;BANCHETTE;A607;05/10/1945;
TN;BANCO;A608;16/10/1920;13/02/1923
TN;BANCO;A608;14/02/1923;26/11/1928
TN;BANCO;A608;04/01/1953;27/08/1968
CA;"BANNARI DI USELLUS";A609;31/12/1868;09/10/1927
CA;"BANNARI DI USELLUS";A609;30/03/1947;25/05/1954
CA;"VILLA VERDE";A609;26/05/1954;19/08/1974
OR;"VILLA VERDE";A609;20/08/1974;
NO;BANNIO;A610;17/03/1861;23/03/1929
NO;"BANNIO ANZINO";A610;24/03/1929;22/05/1992
VB;"BANNIO ANZINO";A610;23/05/1992;
PZ;BANZI;A612;16/07/1901;11/01/1927
MT;BANZI;A612;12/01/1927;29/04/1944
PZ;BANZI;A612;30/04/1944;
PD;BAONE;A613;19/11/1866;
CA;BARADILI;A614;17/03/1861;09/10/1927
CA;BARADILI;A614;10/08/1958;19/08/1974
OR;BARADILI;A614;20/08/1974;
PZ;BARAGIANO;A615;17/03/1861;
CB;BARANELLO;A616;17/03/1861;02/03/1970
CB;BARANELLO;A616;03/03/1970;
NA;"BARANO D'ISCHIA";A617;23/06/1873;12/11/1938
NA;"BARANO D'ISCHIA";A617;22/09/1945;
MI;BARANZATE;A618;12/12/2001;05/03/2003
MI;BARANZATE;A618;08/06/2004;
CO;BARASSO;A619;17/03/1861;11/01/1927
VA;BARASSO;A619;12/01/1927;26/07/1927
VA;BARASSO;A619;13/08/1957;
CA;"BARATILI SAN PIETRO";A621;07/11/1864;11/10/1927
CA;"BARATILI SAN PIETRO";A621;07/02/1946;19/08/1974
OR;"BARATILI SAN PIETRO";A621;20/08/1974;
PL;"BARBANA D'ISTRIA";A624;05/01/1921;07/02/1923
PL;"BARBANA D'ISTRIA";A624;08/02/1923;15/09/1947
TO;BARBANIA;A625;17/03/1861;
AN;BARBARA;A626;17/03/1861;
VI;BARBARANO;A627;19/11/1866;15/07/1926
VI;"BARBARANO VICENTINO";A627;16/07/1926;16/02/2018
RM;"BARBARANO ROMANO";A628;16/09/1872;11/01/1927
VT;"BARBARANO ROMANO";A628;12/01/1927;
CN;BARBARESCO;A629;17/03/1861;
BS;BARBARIGA;A630;17/03/1861;
BG;BARBATA;A631;17/03/1861;
FI;"BARBERINO DI MUGELLO";A632;17/03/1861;
FI;"BARBERINO VAL D'ELSA";A633;02/01/1893;31/12/2018
PV;BARBIANELLO;A634;17/03/1861;
TN;BARBIANO;A635;16/10/1920;13/02/1923
TN;BARBIANO;A635;14/02/1923;11/01/1927
BZ;BARBIANO;A635;12/01/1927;
PD;BARBONA;A637;19/11/1866;
ME;"BARCELLONA POZZO DI GOTTO";A638;17/03/1861;
PU;BARCHI;A639;17/03/1861;31/12/2016
UD;BARCIS;A640;19/11/1866;05/04/1968
PN;BARCIS;A640;06/04/1968;
BS;BARCO;A641;17/03/1861;23/12/1927
CO;BARCONE;A642;17/03/1861;24/12/1927
TO;BARD;A643;17/03/1861;11/01/1927
AO;BARD;A643;12/01/1927;
TO;BARDASSANO;A644;17/03/1861;29/07/1928
CO;BARDELLO;A645;17/03/1861;11/01/1927
VA;BARDELLO;A645;12/01/1927;31/12/2022
PC;BARDI;A646;17/03/1861;30/10/1923
PR;BARDI;A646;31/10/1923;
GE;BARDINETO;A647;17/03/1861;11/01/1927
SV;BARDINETO;A647;12/01/1927;
GE;"BARDINO NUOVO";A648;17/03/1861;11/01/1927
SV;"BARDINO NUOVO";A648;12/01/1927;23/01/1929
GE;"BARDINO VECCHIO";A649;17/03/1861;11/01/1927
SV;"BARDINO VECCHIO";A649;12/01/1927;23/01/1929
VR;BARDOLINO;A650;19/11/1866;
TO;BARDONECCHIA;A651;17/03/1861;
MI;BAREGGIO;A652;17/03/1861;
NO;BARENGO;A653;17/03/1861;
BG;BARESI;A654;17/03/1861;23/11/1927
CA;BARESSA;A655;17/03/1861;19/08/1974
OR;BARESSA;A655;20/08/1974;
AQ;BARETE;A656;17/03/1861;
LU;BARGA;A657;17/03/1861;
GE;BARGAGLI;A658;17/03/1861;
MI;BARGANO;A659;17/03/1861;21/06/1878
CN;BARGE;A660;17/03/1861;
BS;BARGHE;A661;17/03/1861;30/11/1928
BS;BARGHE;A661;16/09/1956;
BA;"BARI DELLE PUGLIE";A662;19/01/1863;16/05/1931
BA;BARI;A662;17/05/1931;
CA;"BARI SARDO";A663;29/09/1862;11/01/1927
NU;"BARI SARDO";A663;12/01/1927;31/12/2005
OG;"BARI SARDO";A663;01/01/2006;27/04/2016
NU;"BARI SARDO";A663;28/04/2016;
BG;BARIANO;A664;17/03/1861;
BO;BARICELLA;A665;17/03/1861;
PZ;BARILE;A666;17/03/1861;
AQ;BARISCIANO;A667;17/03/1861;
MI;BARLASSINA;A668;22/07/1901;29/06/2009
MB;BARLASSINA;A668;30/06/2009;
BA;BARLETTA;A669;17/03/1861;26/07/2009
BT;BARLETTA;A669;27/07/2009;
CO;BARNI;A670;17/03/1861;26/12/1927
CO;BARNI;A670;05/04/1950;
CN;BAROLO;A671;17/03/1861;
TO;"BARONE CANAVESE";A673;17/03/1861;11/01/1927
AO;"BARONE CANAVESE";A673;12/01/1927;04/10/1945
TO;"BARONE CANAVESE";A673;05/10/1945;
SA;BARONISSI;A674;17/03/1861;
NA;BARRA;A675;17/03/1861;29/11/1925
CL;BARRAFRANCA;A676;17/03/1861;11/01/1927
EN;BARRAFRANCA;A676;12/01/1927;
CA;BARRALI;A677;17/03/1861;19/08/1974
CA;BARRALI;A677;20/08/1974;27/04/2016
SU;BARRALI;A677;28/04/2016;
AQ;BARREA;A678;17/03/1861;
BG;BARSIZZA;A679;17/03/1861;26/12/1927
CO;BARTESATE;A680;17/03/1861;09/02/1928
CA;BARUMINI;A681;17/03/1861;19/08/1974
CA;BARUMINI;A681;20/08/1974;31/12/2005
VS;BARUMINI;A681;01/01/2006;27/04/2016
SU;BARUMINI;A681;28/04/2016;
CO;BARZA;A682;17/03/1861;11/01/1927
VA;BARZA;A682;12/01/1927;14/06/1928
CO;BARZAGO;A683;17/03/1861;15/04/1992
LC;BARZAGO;A683;16/04/1992;
BG;BARZANA;A684;17/03/1861;
